PADDLE 150 300 H
BALL   150 260 10
HOLE    40 360
HOLE   140 360
HOLE   240 360

BLOCK D block-daisy.bmp
BLOCK F block-fern.bmp
BLOCK R block-rose.bmp

MAP 14 20
R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1
R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1 R1
D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1
D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1 D1
F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1
F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1 F1
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00
